Requests,Responses
airplane.jpg,"[What is the name of the airline,fly , airline, airplane,sky, airport,jet,aircraft]"
baby.jpg,"[yes *nods*, very happy, of course I am!, humorous stories!, yay,relax, how is this baby, baby,pink, how old is he, how old is she,]"
food.jpg,"[Yum, Yummy, delicious ,nice ,icecream, ice-cream,vegetables, healthy,Looks delish,looks good,looks yummy, see what you eat,Did you make it]"
icecream.jpeg,"[[Yum, Yummy, delicious ,nice ,icecream, ice-cream,Looks delish,looks good,looks yummy, see what you eat!,Did you make it]"
playgrounf.jpg,"[play, city, outside, playground, fun]"
relax.jpg,"[relax,beauty, happy, nice,None, smell nice,This is so awesome! ]"
sad2.jpg,"[sad, not good, unhappy]"
schoolbus.jpg,"[drive, schoolbus,school,driver,Do you drive it]"
sea.jpg,"[nice place, nice, where , beautiful ,sea, water,beautiful outside,None]"
smile.png,"[smile, happy]"
videogame.jpeg,"[video , game, playing, favorite, play]"
zebra.jpg,"[zebra, animal, outside, zoo]"
